stats_type,year,Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts,year_player,won_super_bowl
receiving,2019,Jordan Akins,36,418,2,4,1,53,21,0.583,0,0,55,2019_Jordan Akins,0
receiving,2019,Allen Hurns,32,416,2,4,0,27,18,0.563,1,0,47,2019_Allen Hurns,0
receiving,2019,Duke Johnson,44,410,3,1,0,21,18,0.409,0,0,62,2019_Duke Johnson,0
receiving,2019,Devonta Freeman,59,410,4,2,0,28,17,0.288,1,0,70,2019_Devonta Freeman,0
receiving,2019,Gerald Everett,37,408,2,6,0,33,22,0.595,0,0,59,2019_Gerald Everett,0
receiving,2019,Phillip Dorsett,29,397,5,6,2,58,17,0.586,0,0,54,2019_Phillip Dorsett,0
receiving,2019,Dawson Knox,28,388,2,7,1,49,15,0.536,0,0,50,2019_Dawson Knox,0
receiving,2019,Chris Thompson,41,378,0,3,0,39,16,0.39,1,0,55,2019_Chris Thompson,0
receiving,2019,Eric Ebron,31,375,3,4,1,48,20,0.645,0,0,52,2019_Eric Ebron,0
receiving,2019,Adam Humphries,37,374,2,4,0,30,20,0.541,0,0,47,2019_Adam Humphries,0
receiving,2019,David Johnson,36,370,4,7,0,31,17,0.472,1,0,47,2019_David Johnson,0
receiving,2019,Kyle Rudolph,39,367,6,3,0,32,24,0.615,0,0,48,2019_Kyle Rudolph,0
receiving,2019,T.J. Hockenson,32,367,2,6,0,39,19,0.594,0,0,59,2019_T.J. Hockenson,0
receiving,2019,Blake Jarwin,31,365,3,8,1,42,17,0.548,1,0,40,2019_Blake Jarwin,0
receiving,2019,Kelvin Harmon,30,365,0,8,0,30,16,0.533,0,0,44,2019_Kelvin Harmon,0
receiving,2019,Nelson Agholor,39,363,3,5,1,43,17,0.436,2,0,69,2019_Nelson Agholor,0
receiving,2019,Keelan Cole,24,361,3,5,2,55,19,0.792,0,0,35,2019_Keelan Cole,0
receiving,2019,Jakobi Meyers,26,359,0,9,0,35,17,0.654,0,0,41,2019_Jakobi Meyers,0
receiving,2019,Damiere Byrd,32,359,1,3,2,58,16,0.5,1,0,46,2019_Damiere Byrd,0
receiving,2019,Kendrick Bourne,30,358,5,4,0,30,23,0.767,0,0,44,2019_Kendrick Bourne,0
receiving,2019,Taylor Gabriel,29,353,4,4,1,53,17,0.586,0,0,48,2019_Taylor Gabriel,0
receiving,2019,Albert Wilson,43,351,1,4,0,35,22,0.512,0,0,62,2019_Albert Wilson,0
receiving,2019,Hayden Hurst,30,349,2,4,1,61,16,0.533,0,0,39,2019_Hayden Hurst,0
receiving,2019,Jacob Hollister,41,349,3,3,0,22,16,0.39,0,0,59,2019_Jacob Hollister,0
